City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Upernavik,GL,2020-06-24 22:13:37,72.79,-56.15,34.9,88,41,1.19
71,Naze,JP,2020-06-24 22:22:36,28.37,129.48,80.6,94,75,12.75
72,Avarua,CK,2020-06-24 22:14:00,-21.21,-159.78,78.8,78,68,9.17
73,Najran,SA,2020-06-24 22:14:16,17.49,44.13,80.6,14,41,4.7
74,Nikolskoye,RU,2020-06-24 22:13:56,59.7,30.79,62.6,82,49,4.47
75,Trincomalee,LK,2020-06-24 22:22:37,8.57,81.23,81.25,77,81,13.98
76,Voh,NC,2020-06-24 22:22:37,-20.97,164.7,72.27,57,47,2.48
77,Erenhot,CN,2020-06-24 22:22:37,43.65,111.98,67.19,33,17,2.21
78,Sawai Madhopur,IN,2020-06-24 22:22:37,25.98,76.37,85.35,65,100,4.21
79,Tuktoyaktuk,CA,2020-06-24 22:15:02,69.45,-133.04,44.6,56,40,4.7
80,Ahipara,NZ,2020-06-24 22:14:25,-35.17,173.17,58.91,87,35,5.53
81,Sumbe,AO,2020-06-24 22:22:37,-11.21,13.84,71.28,84,2,5.68
82,Oktyabrskoye,RU,2020-06-24 22:22:37,43.06,44.74,64.4,88,26,4.47
83,Sao Joao Da Barra,BR,2020-06-24 22:22:38,-21.64,-41.05,73.4,78,12,11.41
84,Saint-Augustin,CA,2020-06-24 22:20:06,51.23,-58.65,68.63,71,92,19.53
85,Mar Del Plata,AR,2020-06-24 22:09:11,-38.0,-57.56,54.0,76,91,9.17
86,Malinao,PH,2020-06-24 22:22:38,7.59,124.69,69.58,94,97,1.48
87,Semey,KZ,2020-06-24 22:20:44,50.41,80.23,64.8,78,90,7.09
88,Bealanana,MG,2020-06-24 22:22:38,-14.55,48.73,55.63,92,55,4.92
89,Paragominas,BR,2020-06-24 22:22:38,-2.97,-47.48,74.48,93,17,4.85
90,Kyzyl-Suu,KG,2020-06-24 22:22:38,42.34,78.0,52.11,56,97,1.99
91,Katsuura,JP,2020-06-24 22:14:14,35.13,140.3,68.0,100,75,4.7
92,Aswan,EG,2020-06-24 22:22:39,24.09,32.91,91.4,14,19,11.41
93,Progreso,MX,2020-06-24 22:14:30,21.28,-89.67,93.99,55,90,13.87
94,Sovetskiy,RU,2020-06-24 22:19:05,61.36,63.58,46.69,79,90,8.57
95,Susuman,RU,2020-06-24 22:22:39,62.78,148.17,69.57,49,0,0.76
96,Dodge City,US,2020-06-24 22:19:56,37.75,-100.02,95.0,30,20,14.99
97,Marsa Matruh,EG,2020-06-24 22:15:46,31.35,27.25,71.6,78,40,8.05
98,Kampong Chhnang,KH,2020-06-24 22:22:39,12.17,104.55,78.58,87,99,1.9
99,Roma,US,2020-06-24 22:21:31,43.21,-75.46,73.4,49,1,16.11
100,Jamestown,US,2020-06-24 22:13:32,42.1,-79.24,69.01,52,20,13.87
101,Tautira,PF,2020-06-24 22:22:39,-17.73,-149.15,80.6,78,75,14.99
102,Hilo,US,2020-06-24 22:12:12,19.73,-155.09,80.6,69,90,16.11
103,Shubarkuduk,KZ,2020-06-24 22:22:40,49.14,56.49,65.95,57,100,8.68
104,Tiksi,RU,2020-06-24 22:13:52,71.69,128.87,65.14,45,16,2.8
105,Geraldton,AU,2020-06-24 22:14:56,-28.77,114.6,55.4,71,3,9.17
106,Teya,RU,2020-06-24 22:21:05,60.38,92.63,61.36,82,100,1.68
107,Isangel,VU,2020-06-24 22:22:40,-19.55,169.27,77.0,88,75,9.69
108,Chokurdakh,RU,2020-06-24 22:15:10,70.63,147.92,72.77,34,40,4.47
109,Kota Kinabalu,MY,2020-06-24 22:22:40,5.97,116.07,77.0,100,20,2.24
110,Sweetwater,US,2020-06-24 22:22:40,25.76,-80.37,91.4,59,40,10.29
111,Ponta Do Sol,PT,2020-06-24 22:14:11,32.67,-17.1,71.6,60,20,9.17
112,Luanda,AO,2020-06-24 22:12:36,-8.84,13.23,75.2,78,75,4.7
113,Mahebourg,MU,2020-06-24 22:14:17,-20.41,57.7,71.6,83,40,9.17
114,Porto Velho,BR,2020-06-24 22:19:55,-8.76,-63.9,86.0,62,40,3.36
115,Pangnirtung,CA,2020-06-24 22:14:49,66.15,-65.71,39.2,93,90,12.75
116,Xuddur,SO,2020-06-24 22:22:42,4.12,43.89,73.98,75,5,18.19
117,Sergeyevka,KZ,2020-06-24 22:22:42,53.88,67.42,52.65,91,7,6.93
118,Dedza,MW,2020-06-24 22:22:42,-14.38,34.33,50.31,96,1,3.6
119,Tondano,ID,2020-06-24 22:22:42,1.3,124.91,75.2,94,40,1.97
120,Georgetown,MY,2020-06-24 22:12:25,5.41,100.34,77.0,94,20,8.46
121,Salalah,OM,2020-06-24 22:14:10,17.02,54.09,84.2,83,38,4.7
122,Ferme-Neuve,CA,2020-06-24 22:22:42,46.7,-75.45,62.35,70,96,14.32
123,Grand Gaube,MU,2020-06-24 22:15:39,-20.01,57.66,70.0,85,8,5.99
124,Yambio,SS,2020-06-24 22:22:42,4.57,28.4,68.14,93,32,1.54
125,Amapa,BR,2020-06-24 22:22:42,1.0,-52.0,74.34,97,96,2.75
126,Makakilo City,US,2020-06-24 22:15:15,21.35,-158.09,84.2,57,90,9.17
127,Kodiak,US,2020-06-24 22:15:13,57.79,-152.41,53.6,76,75,8.05
128,Yeppoon,AU,2020-06-24 22:14:35,-23.13,150.73,48.2,81,0,6.11
129,Banning,US,2020-06-24 22:18:57,33.93,-116.88,97.0,28,100,1.99
130,Wilmington Island,US,2020-06-24 22:22:43,32.0,-80.97,91.4,49,20,9.17
131,Kaitangata,NZ,2020-06-24 22:15:18,-46.28,169.85,46.99,92,94,15.99
132,Thompson,CA,2020-06-24 22:13:38,55.74,-97.86,84.2,28,75,12.75
133,Arlit,NE,2020-06-24 22:18:32,18.74,7.39,94.77,10,21,8.3
134,San Quintin,MX,2020-06-24 22:14:57,30.48,-115.95,68.92,69,2,11.45
135,Beira,MZ,2020-06-24 22:14:12,-19.84,34.84,71.6,83,0,6.93
136,Ayan,RU,2020-06-24 22:13:54,56.45,138.17,44.38,92,100,3.06
137,Saskylakh,RU,2020-06-24 22:13:56,71.92,114.08,79.77,31,2,5.57
138,Hargeysa,SO,2020-06-24 22:22:44,9.56,44.06,72.86,62,85,24.74
139,Arraial Do Cabo,BR,2020-06-24 22:14:18,-22.97,-42.03,73.4,73,21,11.41
140,Clyde River,CA,2020-06-24 22:14:13,70.47,-68.59,46.4,70,1,14.99
141,Saint George,US,2020-06-24 22:10:43,37.1,-113.58,106.0,7,1,11.41
142,Zhob,PK,2020-06-24 22:22:44,31.34,69.45,81.99,35,0,16.06
143,Kaura Namoda,NG,2020-06-24 22:22:44,12.59,6.58,89.29,41,41,11.36
144,Santa Isabel Do Rio Negro,BR,2020-06-24 22:13:44,-0.41,-65.02,78.39,89,100,1.99
145,Mareeba,AU,2020-06-24 22:22:45,-17.0,145.43,71.6,73,90,10.29
146,Provideniya,RU,2020-06-24 22:14:05,64.38,-173.3,42.8,62,75,13.42
147,Vaitape,PF,2020-06-24 22:22:45,-16.52,-151.75,80.58,82,20,9.4
148,Monrovia,LR,2020-06-24 22:22:45,6.3,-10.8,77.0,94,75,10.09
149,Cabo San Lucas,MX,2020-06-24 22:14:13,22.89,-109.91,93.2,12,5,19.46
150,Zabol,AF,2020-06-24 22:22:45,32.25,67.25,66.85,25,0,2.82
151,Kloulklubed,PW,2020-06-24 22:20:25,7.04,134.26,77.0,94,75,9.13
152,Agapovka,RU,2020-06-24 22:22:45,53.3,59.13,53.6,87,75,6.71
153,Russkaya Polyana,UA,2020-06-24 22:14:27,49.42,31.92,61.83,87,35,8.14
154,Honningsvag,NO,2020-06-24 22:22:46,70.98,25.97,48.2,76,75,18.34
155,Olesnica,PL,2020-06-24 22:20:24,51.21,17.39,62.01,100,99,2.86
156,Ariquemes,BR,2020-06-24 22:22:46,-9.91,-63.04,81.09,66,72,1.21
157,Praia Da Vitoria,PT,2020-06-24 22:13:51,38.73,-27.07,64.4,77,20,9.28
158,Port Said,EG,2020-06-24 22:14:05,31.26,32.28,75.2,78,0,12.75
159,Thai Nguyen,VN,2020-06-24 22:22:46,21.59,105.84,84.2,83,100,6.93
160,Portland,US,2020-06-24 22:15:17,45.52,-122.68,78.01,57,75,3.36
161,Pringsewu,ID,2020-06-24 22:22:46,-5.36,104.97,71.71,93,73,0.67
162,Maitum,PH,2020-06-24 22:22:46,6.04,124.5,78.51,79,93,4.65
163,Urcos,PE,2020-06-24 22:22:46,-13.69,-71.62,68.0,10,8,13.87
164,Gazanjyk,TM,2020-06-24 22:22:47,39.24,55.52,86.7,15,0,13.85
165,Inuvik,CA,2020-06-24 22:20:45,68.35,-133.72,50.0,46,90,2.24
166,Tromso,NO,2020-06-24 22:09:48,69.65,18.96,51.8,66,28,16.11
167,Cherskiy,RU,2020-06-24 22:13:46,68.75,161.3,57.9,36,62,3.42
168,Caraubas,BR,2020-06-24 22:22:47,-5.79,-37.56,78.06,71,99,9.98
169,Wilmington,US,2020-06-24 22:20:42,34.23,-77.94,88.0,58,40,6.93
170,Airai,TL,2020-06-24 22:13:51,-8.93,125.41,57.24,100,47,3.76
171,Port Alfred,ZA,2020-06-24 22:15:04,-33.59,26.89,68.0,31,0,8.01
172,Marshall,US,2020-06-24 22:22:47,34.38,-86.33,73.99,88,90,5.82
173,Mpika,ZM,2020-06-24 22:14:20,-11.83,31.45,58.51,75,34,9.55
174,Labuhan,ID,2020-06-24 22:18:24,-6.88,112.21,75.38,86,82,6.96
175,Acapulco,MX,2020-06-24 22:18:11,16.86,-99.89,87.8,58,90,9.17
176,Roald,NO,2020-06-24 22:12:10,62.58,6.13,63.0,77,74,10.29
177,Hofn,IS,2020-06-24 22:14:03,64.25,-15.21,50.49,90,95,6.31
178,Black Forest,US,2020-06-24 22:20:45,39.01,-104.7,80.6,21,1,13.87
179,Dhidhdhoo,MV,2020-06-24 22:22:48,6.88,73.1,83.46,77,100,18.72
180,Show Low,US,2020-06-24 22:22:48,34.25,-110.03,91.4,8,1,13.87
181,Buzmeyin,TM,2020-06-24 22:22:48,38.05,58.21,80.6,26,0,4.7
